Longitude,Latitude,EVI,LST,precipitation,Zona_Cluster,cluster
97.3529174,5.182831544,0.373835556,25.25,6.5872536,5,1
97.3550095,5.182831544,0.355995556,25.25,6.5872536,5,1
97.35710161,5.182831544,0.325641667,25.27,6.5872536,5,1
97.35919371,5.182831544,0.3217125,25.27,6.5872536,5,1
97.36128581,5.182831544,0.390382,25.27,6.5872536,5,1
97.36337792,5.182831544,0.410524,25.27,6.5872536,5,1
97.36547002,5.182831544,0.392968,25.27,6.5872536,5,1
97.36756213,5.182831544,0.39861,25.27,6.5872536,5,1
97.36965423,5.182831544,0.394218,25.27,6.5872536,5,1
97.37174633,5.182831544,0.37203,25.27,6.5872536,5,1
97.37383844,5.182831544,0.36177,25.29,6.5872536,5,1
97.37593054,5.182831544,0.348724,25.29,6.5872536,5,1
97.37802265,5.182831544,0.401088,25.29,6.5872536,5,1
97.38011475,5.182831544,0.428672,25.29,6.5872536,5,1
97.38220685,5.182831544,0.435122,25.15,6.5872536,5,1
97.38429896,5.182831544,0.43259,25.15,6.5872536,5,1
97.38639106,5.182831544,0.429396,25.15,6.5872536,5,1
97.38848317,5.182831544,0.428116,25.15,6.5872536,5,1
97.39057527,5.182831544,0.399008,25.07,6.5872536,5,1
97.39266737,5.182831544,0.363886,25.07,6.5872536,5,1
97.39475948,5.182831544,0.362788,25.07,6.5872536,5,1
97.39685158,5.182831544,0.383842,25.07,6.5872536,5,1
97.39894369,5.182831544,0.400602,25.07,6.5872536,5,1
97.40103579,5.182831544,0.427774,25.07,7.083216,5,1
97.40312789,5.182831544,0.439292,25.07,7.083216,5,1
97.40522,5.182831544,0.444094,25.07,7.083216,5,1
97.4073121,5.182831544,0.444612,25.07,7.083216,5,1
97.4094042,5.182831544,0.409194,25.07,7.083216,5,1
97.41149631,5.182831544,0.387106,25.07,7.083216,5,1
97.41358841,5.182831544,0.362398,25.07,7.083216,5,1
97.30657021,5.180747994,0.083368571,24.65,6.5872536,4,0
97.30866231,5.180747994,0.074125714,24.65,6.5872536,4,0
97.31075441,5.180747994,0.071071111,24.65,6.5872536,4,0
97.31284651,5.180747994,0.08036,24.65,6.5872536,4,0
97.3149386,5.180747994,0.072208696,24.67,6.5872536,4,0
97.3170307,5.180747994,0.07086087,24.67,6.5872536,4,0
97.3191228,5.180747994,0.087356818,24.67,6.5872536,4,0
97.32121489,5.180747994,0.085559091,24.67,6.5872536,4,0
97.34841215,5.180747994,0.30735,25.25,6.5872536,5,1
97.35050425,5.180747994,0.357866667,25.25,6.5872536,5,1
97.35259635,5.180747994,0.381486667,25.25,6.5872536,5,1
97.35468845,5.180747994,0.353671111,25.25,6.5872536,5,1
97.35678054,5.180747994,0.296385417,25.27,6.5872536,5,1
97.35887264,5.180747994,0.309939583,25.27,6.5872536,5,1
97.36096474,5.180747994,0.396408,25.27,6.5872536,5,1
97.36305683,5.180747994,0.432636,25.27,6.5872536,5,1
97.36514893,5.180747994,0.421864,25.27,6.5872536,5,1
97.36724103,5.180747994,0.406406,25.27,6.5872536,5,1
97.36933312,5.180747994,0.370946,25.27,6.5872536,5,1
97.37142522,5.180747994,0.335108,25.27,6.5872536,5,1
97.37351732,5.180747994,0.294224,25.29,6.5872536,5,1
97.37560942,5.180747994,0.290874,25.29,6.5872536,5,1
97.37770151,5.180747994,0.324752,25.29,6.5872536,5,1
97.37979361,5.180747994,0.337864,25.29,6.5872536,5,1
97.38188571,5.180747994,0.363918,25.15,6.5872536,5,1
97.3839778,5.180747994,0.373392,25.15,6.5872536,5,1
97.3860699,5.180747994,0.401884,25.15,6.5872536,5,1
97.388162,5.180747994,0.427342,25.15,6.5872536,5,1
97.39025409,5.180747994,0.427296,25.07,6.5872536,5,1
97.39234619,5.180747994,0.386762,25.07,6.5872536,5,1
97.39443829,5.180747994,0.368872,25.07,6.5872536,5,1
97.39653039,5.180747994,0.385972,25.07,6.5872536,5,1
97.39862248,5.180747994,0.405028,25.07,6.5872536,5,1
97.40071458,5.180747994,0.420166,25.07,7.083216,5,1
97.40280668,5.180747994,0.407684,25.07,7.083216,5,1
97.40489877,5.180747994,0.38647,25.07,7.083216,5,1
97.40699087,5.180747994,0.382344,25.07,7.083216,5,1
97.40908297,5.180747994,0.387708,25.07,7.083216,5,1
97.41117506,5.180747994,0.379172,25.07,7.083216,5,1
97.41326716,5.180747994,0.38207,25.07,7.083216,5,1
97.30624945,5.178664444,0.119276,24.65,6.5872536,4,0
97.30834154,5.178664444,0.080372,24.65,6.5872536,4,0
97.31043363,5.178664444,0.089422,24.65,6.5872536,4,0
97.31252572,5.178664444,0.148652,24.65,6.5872536,4,0
97.31461781,5.178664444,0.144138,24.67,6.5872536,4,0
97.3167099,5.178664444,0.085612,24.67,6.5872536,4,0
97.31880199,5.178664444,0.078248,24.67,6.5872536,4,0
97.32089408,5.178664444,0.086454,24.67,6.5872536,4,0
97.34809125,5.178664444,0.210840741,25.25,6.5872536,4,0
97.35018334,5.178664444,0.26902963,25.25,6.5872536,4,1
97.35227543,5.178664444,0.345323077,25.25,6.5872536,5,1
97.35436752,5.178664444,0.351707692,25.25,6.5872536,5,1
97.35645961,5.178664444,0.382497917,25.27,6.5872536,5,1
97.3585517,5.178664444,0.38305625,25.27,6.5872536,5,1
97.36064379,5.178664444,0.419492,25.27,6.5872536,5,1
97.36273588,5.178664444,0.372546,25.27,6.5872536,5,1
97.36482797,5.178664444,0.315464,25.27,6.5872536,5,1
97.36692006,5.178664444,0.323412,25.27,6.5872536,5,1
97.36901215,5.178664444,0.311282,25.27,6.5872536,5,1
97.37110424,5.178664444,0.280012,25.27,6.5872536,4,1
97.37319633,5.178664444,0.292202,25.29,6.5872536,5,1
97.37528842,5.178664444,0.316526,25.29,6.5872536,5,1
97.37738051,5.178664444,0.331938,25.29,6.5872536,5,1
97.3794726,5.178664444,0.327566,25.29,6.5872536,5,1
97.38156469,5.178664444,0.337386,25.15,6.5872536,5,1
97.38365678,5.178664444,0.32743,25.15,6.5872536,5,1
97.38574887,5.178664444,0.324676,25.15,6.5872536,5,1
97.38784096,5.178664444,0.363564,25.15,6.5872536,5,1
